Wine Consumption Per Capita in Kenya,
,
Date,Liters of Pure Alcohol
2019,0.03
2018,0.03
2017,0.03
2016,0.03
2015,0.03
2014,0.03
2013,0.04
2012,0.03
2011,0.03
2010,0.03
2009,0.02
2008,0.02
2007,0.03
2006,0.02
2005,0.02
2004,0.02
2003,0.02
2002,0.02
2001,0.02
2000,0.01
1999,0.02
1998,0.02
1997,0.01
1996,0.01
1995,0.02
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.01
1985,0.01
1984,0.01
1983,0.02
1982,0.01
1981,0.02
1980,0.02
1979,0.03
1978,0.03
1977,0.02
1976,0.02
1975,0.02
1974,0.02
1973,0.02
1972,0.02
1971,0.02
1970,0.01
1969,0.01
1968,0.02
1967,0.01
1966,0.05
1965,0.02
1964,0.02
1963,0.03
1962,0.02
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/kenya-wine-consumption-per-capita,
