Wine Consumption Per Capita in Kiribati,
,
Date,Liters of Pure Alcohol
2019,0.01
2018,0.01
2017,0.01
2016,0.02
2015,0.01
2014,0.15
2013,0.03
2012,0.01
2011,0.00
2010,0.00
2009,0.00
2008,0.00
2007,0.01
2006,0.00
2005,0.02
2004,0.02
2003,0.02
2002,0.02
2001,0.12
2000,0.12
1999,0.02
1998,0.02
1997,0.01
1996,0.01
1995,0.01
1994,0.01
1993,0.01
1992,0.01
1991,0.02
1990,0.02
1989,0.01
1988,0.02
1987,0.03
1986,0.02
1985,0.04
1984,0.04
1983,0.04
1982,0.03
1981,0.05
1980,0.03
1979,0.04
1978,0.03
1977,0.03
1976,0.04
1975,0.04
1974,0.04
1973,0.06
1972,0.06
1971,0.06
1970,0.04
1969,0.03
1968,0.04
1967,0.02
1966,0.01
1965,0.07
1964,0.03
1963,0.02
1962,0.02
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/kiribati-wine-consumption-per-capita,
