Wine Consumption Per Capita in Kyrgyzstan,
,
Date,Liters of Pure Alcohol
2019,0.08
2018,0.08
2017,0.08
2016,0.08
2015,0.07
2014,0.08
2013,0.10
2012,0.08
2011,0.08
2010,0.08
2009,0.07
2008,0.08
2007,0.08
2006,0.08
2005,0.08
2004,0.10
2003,0.14
2002,0.14
2001,0.14
2000,0.06
1999,0.13
1998,0.25
1997,0.26
1996,0.28
1995,0.13
1994,0.30
1993,0.24
1992,0.39
1991,0.67
1990,0.61
1989,0.72
1988,0.67
1987,0.71
1986,0.76
1985,1.82
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/kyrgyzstan-wine-consumption-per-capita,
