Wine Consumption Per Capita in Laos,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.02
2015,0.02
2014,0.02
2013,0.02
2012,0.02
2011,0.02
2010,0.01
2009,0.01
2008,0.00
2007,0.00
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.00
2000,0.00
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,1.13
1988,0.00
1987,0.00
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.00
1981,0.00
1980,0.00
1979,0.00
1978,0.00
1977,0.00
1976,0.00
1975,0.01
1974,0.02
1973,0.02
1972,0.01
1971,0.02
1970,0.02
1969,0.02
1968,0.01
1967,0.01
1966,0.01
1965,0.01
1964,0.01
1963,0.02
1962,0.03
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/laos-wine-consumption-per-capita,
