Wine Consumption Per Capita in Latvia,
,
Date,Liters of Pure Alcohol
2019,1.41
2018,1.40
2017,1.40
2016,1.30
2015,1.20
2014,1.20
2013,1.10
2012,1.16
2011,1.13
2010,1.05
2009,1.03
2008,1.13
2007,1.18
2006,1.06
2005,0.94
2004,0.95
2003,1.78
2002,1.50
2001,1.38
2000,1.60
1999,1.25
1998,1.13
1997,0.84
1996,1.06
1995,1.01
1994,1.64
1993,1.59
1992,1.25
1991,1.27
1990,1.39
1989,1.44
1988,1.14
1987,1.05
1986,1.19
1985,2.34
1984,2.59
1983,2.60
1982,2.96
1981,3.16
1980,3.35
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/latvia-wine-consumption-per-capita,
