Wine Consumption Per Capita in Lebanon,
,
Date,Liters of Pure Alcohol
2019,0.22
2018,0.24
2017,0.24
2016,0.25
2015,0.25
2014,0.24
2013,0.25
2012,0.24
2011,0.22
2010,0.22
2009,0.24
2008,0.31
2007,0.40
2006,0.49
2005,0.55
2004,0.59
2003,0.61
2002,0.65
2001,0.74
2000,0.79
1999,0.76
1998,0.77
1997,1.04
1996,0.70
1995,1.37
1994,1.37
1993,1.28
1992,1.20
1991,1.08
1990,0.82
1989,0.89
1988,0.88
1987,0.78
1986,0.70
1985,0.63
1984,0.55
1983,0.47
1982,0.49
1981,0.50
1980,0.39
1979,0.39
1978,0.38
1977,0.39
1976,0.39
1975,0.39
1974,0.40
1973,0.40
1972,0.37
1971,0.38
1970,0.39
1969,0.40
1968,0.41
1967,0.42
1966,0.44
1965,0.44
1964,0.46
1963,0.47
1962,0.48
1961,0.48
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/lebanon-wine-consumption-per-capita,
