Wine Consumption Per Capita in Lesotho,
,
Date,Liters of Pure Alcohol
2019,0.10
2018,0.09
2017,0.09
2016,0.09
2015,0.09
2014,0.09
2013,0.09
2012,0.00
2011,0.01
2010,0.01
2009,0.01
2008,0.01
2007,0.01
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.04
2000,0.04
1999,0.04
1998,0.05
1997,0.05
1996,0.05
1995,0.05
1994,0.05
1993,0.05
1992,0.05
1991,0.05
1990,0.05
1989,0.06
1988,0.06
1987,0.05
1986,0.04
1985,0.05
1984,0.13
1983,0.05
1982,0.05
1981,0.07
1980,0.07
1979,0.07
1978,0.03
1977,0.03
1976,0.04
1975,0.03
1974,0.00
1973,0.00
1972,
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/lesotho-wine-consumption-per-capita,
