Wine Consumption Per Capita in Liberia,
,
Date,Liters of Pure Alcohol
2019,0.06
2018,0.05
2017,0.05
2016,0.05
2015,0.06
2014,0.03
2013,0.05
2012,0.03
2011,0.05
2010,0.03
2009,0.01
2008,0.01
2007,0.01
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.00
2000,0.00
1999,0.01
1998,0.01
1997,0.03
1996,0.00
1995,0.02
1994,0.00
1993,0.01
1992,0.00
1991,0.01
1990,0.01
1989,0.03
1988,0.02
1987,0.02
1986,0.02
1985,0.02
1984,0.02
1983,0.02
1982,0.02
1981,0.03
1980,0.03
1979,0.04
1978,0.06
1977,0.07
1976,0.06
1975,0.05
1974,0.11
1973,0.08
1972,0.08
1971,0.13
1970,0.08
1969,0.05
1968,0.05
1967,0.05
1966,0.08
1965,0.03
1964,0.08
1963,0.01
1962,0.07
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/liberia-wine-consumption-per-capita,
