Wine Consumption Per Capita in Lithuania,
,
Date,Liters of Pure Alcohol
2019,0.77
2018,0.80
2017,0.81
2016,1.04
2015,1.14
2014,1.51
2013,1.49
2012,1.44
2011,1.35
2010,1.10
2009,1.06
2008,0.99
2007,1.03
2006,1.98
2005,1.63
2004,2.37
2003,2.24
2002,2.06
2001,1.89
2000,2.10
1999,1.12
1998,0.95
1997,0.89
1996,1.26
1995,0.55
1994,0.25
1993,0.39
1992,0.25
1991,0.63
1990,0.31
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/lithuania-wine-consumption-per-capita,
