Wine Consumption Per Capita in Luxembourg,
,
Date,Liters of Pure Alcohol
2019,4.71
2018,4.70
2017,4.95
2016,5.00
2015,5.10
2014,5.07
2013,5.12
2012,5.28
2011,5.32
2010,5.25
2009,5.26
2008,5.28
2007,5.42
2006,5.44
2005,5.39
2004,5.50
2003,5.66
2002,5.83
2001,5.92
2000,5.86
1999,5.40
1998,5.47
1997,5.56
1996,5.62
1995,5.81
1994,5.75
1993,5.89
1992,5.95
1991,6.11
1990,6.72
1989,6.99
1988,6.98
1987,7.04
1986,6.97
1985,7.38
1984,7.57
1983,7.87
1982,7.99
1981,8.09
1980,8.32
1979,8.39
1978,8.64
1977,9.07
1976,9.08
1975,9.27
1974,9.08
1973,9.34
1972,9.30
1971,9.31
1970,9.22
1969,9.46
1968,9.65
1967,9.69
1966,9.82
1965,10.00
1964,10.34
1963,10.65
1962,10.93
1961,11.21
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/luxembourg-wine-consumption-per-capita,
