Wine Consumption Per Capita in Madagascar,
,
Date,Liters of Pure Alcohol
2019,0.07
2018,0.07
2017,0.07
2016,0.07
2015,0.08
2014,0.08
2013,0.08
2012,0.10
2011,0.10
2010,0.10
2009,0.10
2008,0.10
2007,0.10
2006,0.08
2005,0.07
2004,0.12
2003,0.12
2002,0.12
2001,0.12
2000,0.13
1999,0.09
1998,0.09
1997,0.09
1996,0.09
1995,0.10
1994,0.10
1993,0.10
1992,0.10
1991,0.11
1990,0.11
1989,0.19
1988,0.18
1987,0.19
1986,0.19
1985,0.19
1984,0.19
1983,0.18
1982,0.17
1981,0.17
1980,0.21
1979,0.19
1978,0.32
1977,0.33
1976,0.27
1975,0.36
1974,0.21
1973,0.43
1972,0.38
1971,0.55
1970,0.52
1969,0.58
1968,0.69
1967,0.57
1966,0.58
1965,0.69
1964,0.74
1963,0.77
1962,0.89
1961,0.96
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/madagascar-wine-consumption-per-capita,
