Wine Consumption Per Capita in Malawi,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.02
2015,0.02
2014,0.01
2013,0.02
2012,0.02
2011,0.02
2010,0.02
2009,0.02
2008,0.15
2007,0.00
2006,0.01
2005,0.01
2004,0.01
2003,0.02
2002,0.01
2001,0.01
2000,0.01
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.00
1994,0.01
1993,0.00
1992,0.01
1991,0.01
1990,0.01
1989,0.01
1988,0.01
1987,0.01
1986,0.00
1985,0.01
1984,0.01
1983,0.01
1982,0.01
1981,0.01
1980,0.01
1979,0.01
1978,0.01
1977,0.00
1976,0.01
1975,0.01
1974,0.01
1973,0.01
1972,0.01
1971,0.01
1970,0.01
1969,0.01
1968,0.01
1967,0.01
1966,0.01
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/malawi-wine-consumption-per-capita,
