Wine Consumption Per Capita in Malaysia,
,
Date,Liters of Pure Alcohol
2019,0.04
2018,0.04
2017,0.04
2016,0.04
2015,0.04
2014,0.04
2013,0.04
2012,0.04
2011,0.04
2010,0.03
2009,0.03
2008,0.03
2007,0.03
2006,0.02
2005,0.02
2004,0.02
2003,0.02
2002,0.02
2001,0.02
2000,0.02
1999,0.08
1998,0.00
1997,0.00
1996,0.02
1995,0.04
1994,0.00
1993,0.03
1992,0.06
1991,0.02
1990,0.02
1989,0.00
1988,0.02
1987,0.03
1986,0.01
1985,0.02
1984,0.00
1983,0.00
1982,0.03
1981,0.01
1980,0.01
1979,0.01
1978,0.01
1977,0.01
1976,0.01
1975,0.01
1974,0.01
1973,0.01
1972,0.01
1971,0.01
1970,0.01
1969,0.01
1968,0.01
1967,0.01
1966,0.01
1965,0.01
1964,0.01
1963,0.01
1962,0.01
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/malaysia-wine-consumption-per-capita,
