Wine Consumption Per Capita in Malta,
,
Date,Liters of Pure Alcohol
2019,2.32
2018,2.33
2017,2.33
2016,2.16
2015,2.02
2014,2.12
2013,2.08
2012,2.15
2011,1.99
2010,2.22
2009,2.50
2008,2.27
2007,2.80
2006,4.16
2005,2.54
2004,2.54
2003,2.54
2002,1.31
2001,1.13
2000,0.94
1999,2.47
1998,2.50
1997,2.09
1996,2.22
1995,2.16
1994,2.09
1993,2.02
1992,1.95
1991,1.95
1990,1.88
1989,1.89
1988,1.89
1987,1.24
1986,1.49
1985,1.17
1984,1.26
1983,1.05
1982,0.83
1981,0.95
1980,0.48
1979,0.61
1978,0.99
1977,0.34
1976,1.41
1975,0.33
1974,0.66
1973,0.28
1972,0.00
1971,0.33
1970,0.81
1969,0.14
1968,0.16
1967,0.12
1966,0.07
1965,0.05
1964,0.00
1963,0.00
1962,0.00
1961,0.47
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/malta-wine-consumption-per-capita,
