Wine Consumption Per Capita in Mauritania,
,
Date,Liters of Pure Alcohol
2019,0.00
2018,0.00
2017,0.00
2016,0.00
2015,0.00
2014,0.00
2013,0.00
2012,0.00
2011,0.00
2010,0.00
2009,0.00
2008,0.00
2007,0.00
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.00
2000,0.01
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.01
1994,0.01
1993,0.01
1992,0.01
1991,0.01
1990,0.00
1989,0.00
1988,0.00
1987,0.01
1986,0.02
1985,0.03
1984,0.02
1983,0.01
1982,0.02
1981,0.03
1980,0.03
1979,0.03
1978,0.03
1977,0.04
1976,0.05
1975,0.03
1974,0.06
1973,0.06
1972,0.08
1971,0.05
1970,0.05
1969,0.02
1968,0.02
1967,0.02
1966,0.02
1965,0.03
1964,0.03
1963,0.05
1962,0.08
1961,0.07
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/mauritania-wine-consumption-per-capita,
