Wine Consumption Per Capita in Mauritius,
,
Date,Liters of Pure Alcohol
2019,0.41
2018,0.39
2017,0.40
2016,0.41
2015,0.38
2014,0.31
2013,0.30
2012,0.30
2011,0.31
2010,0.35
2009,0.24
2008,0.33
2007,0.30
2006,0.28
2005,0.20
2004,0.22
2003,0.22
2002,0.20
2001,0.20
2000,0.27
1999,0.43
1998,0.24
1997,0.24
1996,0.20
1995,0.20
1994,0.22
1993,0.16
1992,0.25
1991,0.16
1990,0.14
1989,0.13
1988,0.15
1987,0.13
1986,0.11
1985,0.05
1984,0.06
1983,0.05
1982,0.05
1981,0.07
1980,0.06
1979,0.05
1978,0.10
1977,0.12
1976,0.13
1975,0.12
1974,0.15
1973,0.13
1972,0.13
1971,0.09
1970,0.08
1969,0.08
1968,0.08
1967,0.07
1966,0.09
1965,0.14
1964,0.14
1963,0.19
1962,0.17
1961,0.15
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/mauritius-wine-consumption-per-capita,
