Wine Consumption Per Capita in Mexico,
,
Date,Liters of Pure Alcohol
2019,0.19
2018,0.19
2017,0.19
2016,0.19
2015,0.20
2014,0.18
2013,0.20
2012,0.19
2011,0.18
2010,0.18
2009,0.19
2008,0.21
2007,0.20
2006,0.09
2005,0.09
2004,0.11
2003,0.11
2002,0.09
2001,0.09
2000,0.09
1999,0.03
1998,0.03
1997,0.03
1996,0.03
1995,0.03
1994,0.03
1993,0.03
1992,0.05
1991,0.02
1990,0.04
1989,0.04
1988,0.04
1987,0.06
1986,0.06
1985,0.06
1984,0.10
1983,0.04
1982,0.04
1981,0.06
1980,0.06
1979,0.04
1978,0.04
1977,0.04
1976,0.04
1975,0.04
1974,0.04
1973,0.04
1972,0.06
1971,0.04
1970,0.06
1969,0.04
1968,0.04
1967,0.04
1966,0.04
1965,0.06
1964,0.04
1963,0.04
1962,0.19
1961,0.20
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/mexico-wine-consumption-per-capita,
