Wine Consumption Per Capita in Moldova,
,
Date,Liters of Pure Alcohol
2019,3.45
2018,3.44
2017,3.44
2016,3.36
2015,2.68
2014,2.75
2013,3.19
2012,3.49
2011,3.66
2010,2.98
2009,2.68
2008,3.07
2007,2.91
2006,2.20
2005,5.11
2004,0.76
2003,0.74
2002,0.76
2001,1.58
2000,2.16
1999,2.41
1998,1.99
1997,2.87
1996,4.80
1995,5.35
1994,7.77
1993,7.34
1992,7.55
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/moldova-wine-consumption-per-capita,
