Wine Consumption Per Capita in Mongolia,
,
Date,Liters of Pure Alcohol
2019,1.58
2018,1.59
2017,1.37
2016,1.34
2015,1.20
2014,1.39
2013,1.44
2012,1.58
2011,1.53
2010,1.23
2009,1.07
2008,0.97
2007,0.80
2006,0.71
2005,0.54
2004,0.64
2003,0.64
2002,0.70
2001,0.65
2000,0.51
1999,0.04
1998,0.06
1997,0.08
1996,0.05
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.00
1981,0.00
1980,0.00
1979,0.00
1978,0.00
1977,0.00
1976,0.00
1975,0.00
1974,0.00
1973,0.00
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/mongolia-wine-consumption-per-capita,
