Wine Consumption Per Capita in Mozambique,
,
Date,Liters of Pure Alcohol
2019,0.04
2018,0.03
2017,0.05
2016,0.08
2015,0.09
2014,0.09
2013,0.09
2012,0.11
2011,0.11
2010,0.10
2009,0.07
2008,0.08
2007,0.09
2006,0.08
2005,0.07
2004,0.07
2003,0.06
2002,0.13
2001,0.07
2000,0.07
1999,0.04
1998,0.08
1997,0.08
1996,0.08
1995,0.08
1994,0.11
1993,0.10
1992,0.18
1991,0.08
1990,0.02
1989,0.03
1988,0.03
1987,0.03
1986,0.03
1985,0.02
1984,0.01
1983,0.07
1982,0.02
1981,0.07
1980,0.06
1979,0.01
1978,0.06
1977,0.05
1976,0.04
1975,0.18
1974,0.24
1973,0.34
1972,0.53
1971,0.47
1970,0.80
1969,0.99
1968,1.18
1967,1.27
1966,1.45
1965,1.37
1964,1.24
1963,1.08
1962,0.95
1961,1.14
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/mozambique-wine-consumption-per-capita,
