Wine Consumption Per Capita in Namibia,
,
Date,Liters of Pure Alcohol
2019,2.21
2018,2.05
2017,2.10
2016,1.93
2015,1.79
2014,1.62
2013,1.46
2012,1.34
2011,0.06
2010,0.06
2009,0.02
2008,0.03
2007,0.28
2006,0.23
2005,0.11
2004,0.12
2003,0.67
2002,0.29
2001,0.52
2000,0.88
1999,0.45
1998,1.04
1997,1.12
1996,0.00
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.00
1981,0.00
1980,0.00
1979,0.00
1978,0.00
1977,0.00
1976,0.00
1975,0.00
1974,0.00
1973,0.00
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/namibia-wine-consumption-per-capita,
