Wine Consumption Per Capita in Netherlands,
,
Date,Liters of Pure Alcohol
2019,2.93
2018,2.94
2017,2.94
2016,2.89
2015,2.94
2014,2.95
2013,2.87
2012,3.16
2011,3.17
2010,3.18
2009,3.16
2008,3.15
2007,3.16
2006,3.16
2005,3.13
2004,3.03
2003,2.76
2002,2.79
2001,2.78
2000,2.77
1999,2.92
1998,2.85
1997,2.78
1996,2.60
1995,2.63
1994,2.53
1993,2.45
1992,2.63
1991,2.45
1990,2.29
1989,2.45
1988,2.49
1987,2.48
1986,2.59
1985,2.54
1984,2.60
1983,2.39
1982,2.58
1981,2.31
1980,2.28
1979,1.71
1978,1.76
1977,1.70
1976,1.67
1975,1.52
1974,1.54
1973,1.33
1972,1.17
1971,0.93
1970,0.79
1969,0.74
1968,0.65
1967,0.64
1966,0.53
1965,0.52
1964,0.45
1963,0.40
1962,0.42
1961,0.40
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/netherlands-wine-consumption-per-capita,
