Wine Consumption Per Capita in New Zealand,
,
Date,Liters of Pure Alcohol
2019,2.97
2018,2.94
2017,3.02
2016,3.01
2015,2.91
2014,3.13
2013,3.01
2012,3.00
2011,3.01
2010,3.23
2009,3.04
2008,3.04
2007,3.00
2006,3.10
2005,2.99
2004,2.85
2003,2.73
2002,2.74
2001,2.51
2000,2.57
1999,2.62
1998,2.42
1997,2.44
1996,2.31
1995,2.37
1994,2.33
1993,2.35
1992,2.25
1991,2.41
1990,2.11
1989,2.06
1988,2.12
1987,2.20
1986,2.43
1985,2.10
1984,2.04
1983,1.86
1982,1.91
1981,2.36
1980,2.22
1979,1.89
1978,1.96
1977,1.61
1976,1.68
1975,1.49
1974,1.58
1973,1.51
1972,1.32
1971,1.19
1970,0.99
1969,0.87
1968,0.73
1967,0.64
1966,0.57
1965,0.50
1964,0.47
1963,0.41
1962,0.38
1961,0.38
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/new-zealand-wine-consumption-per-capita,
