Wine Consumption Per Capita in Nicaragua,
,
Date,Liters of Pure Alcohol
2019,0.03
2018,0.02
2017,0.03
2016,0.03
2015,0.03
2014,0.03
2013,0.02
2012,0.02
2011,0.02
2010,0.02
2009,0.02
2008,0.02
2007,0.02
2006,0.02
2005,0.02
2004,0.01
2003,0.01
2002,0.01
2001,0.01
2000,0.01
1999,0.03
1998,0.03
1997,0.06
1996,0.01
1995,0.01
1994,0.01
1993,0.01
1992,0.02
1991,0.01
1990,0.00
1989,0.01
1988,0.00
1987,0.00
1986,0.00
1985,0.01
1984,0.01
1983,0.01
1982,0.01
1981,0.02
1980,0.02
1979,0.01
1978,0.03
1977,0.05
1976,0.05
1975,0.03
1974,0.04
1973,0.04
1972,0.02
1971,0.03
1970,0.02
1969,0.02
1968,0.04
1967,0.01
1966,0.06
1965,0.04
1964,0.03
1963,0.02
1962,0.01
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/nicaragua-wine-consumption-per-capita,
