Wine Consumption Per Capita in Niger,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.01
2015,0.01
2014,0.01
2013,0.01
2012,0.02
2011,0.01
2010,0.01
2009,0.01
2008,0.01
2007,0.01
2006,0.01
2005,0.02
2004,0.01
2003,0.01
2002,0.01
2001,0.01
2000,0.01
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.01
1994,0.00
1993,0.01
1992,0.01
1991,0.01
1990,0.01
1989,0.02
1988,0.02
1987,0.02
1986,0.02
1985,0.03
1984,0.07
1983,0.04
1982,0.06
1981,0.04
1980,0.04
1979,0.04
1978,0.06
1977,0.03
1976,0.02
1975,0.03
1974,0.03
1973,0.04
1972,0.04
1971,0.04
1970,0.04
1969,0.06
1968,0.06
1967,0.07
1966,0.06
1965,0.07
1964,0.07
1963,0.10
1962,0.12
1961,0.08
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/niger-wine-consumption-per-capita,
