Wine Consumption Per Capita in Nigeria,
,
Date,Liters of Pure Alcohol
2019,0.04
2018,0.04
2017,0.04
2016,0.03
2015,0.04
2014,0.05
2013,0.06
2012,0.06
2011,0.05
2010,0.04
2009,0.03
2008,0.06
2007,0.04
2006,0.01
2005,0.01
2004,0.01
2003,0.01
2002,0.00
2001,0.01
2000,0.00
1999,0.00
1998,0.00
1997,0.00
1996,0.00
1995,0.00
1994,0.00
1993,0.01
1992,0.01
1991,0.01
1990,0.01
1989,0.00
1988,0.00
1987,0.01
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.02
1981,0.01
1980,0.01
1979,0.00
1978,0.03
1977,0.03
1976,0.03
1975,0.02
1974,0.01
1973,0.01
1972,0.00
1971,0.01
1970,0.01
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.01
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/nigeria-wine-consumption-per-capita,
