Wine Consumption Per Capita in Norway,
,
Date,Liters of Pure Alcohol
2019,2.22
2018,2.20
2017,2.19
2016,2.21
2015,2.22
2014,2.25
2013,2.30
2012,2.29
2011,2.30
2010,2.29
2009,2.28
2008,2.23
2007,2.11
2006,2.05
2005,2.00
2004,1.90
2003,1.84
2002,1.81
2001,1.60
2000,1.62
1999,1.49
1998,1.23
1997,1.28
1996,1.12
1995,1.04
1994,0.99
1993,0.92
1992,0.91
1991,0.93
1990,0.95
1989,0.97
1988,0.97
1987,0.93
1986,0.83
1985,0.82
1984,0.71
1983,0.65
1982,0.57
1981,0.69
1980,0.75
1979,0.53
1978,0.41
1977,0.49
1976,0.47
1975,0.48
1974,0.46
1973,0.44
1972,0.39
1971,0.38
1970,0.33
1969,0.32
1968,0.29
1967,0.28
1966,0.25
1965,0.22
1964,0.21
1963,0.21
1962,0.21
1961,0.21
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/norway-wine-consumption-per-capita,
