Wine Consumption Per Capita in Panama,
,
Date,Liters of Pure Alcohol
2019,0.26
2018,0.25
2017,0.25
2016,0.25
2015,0.24
2014,0.24
2013,0.25
2012,0.25
2011,0.25
2010,0.24
2009,0.23
2008,0.24
2007,0.21
2006,0.18
2005,0.17
2004,0.16
2003,0.14
2002,0.13
2001,0.13
2000,0.12
1999,0.13
1998,0.09
1997,0.11
1996,0.10
1995,0.08
1994,0.08
1993,0.08
1992,0.07
1991,0.07
1990,0.08
1989,0.07
1988,0.06
1987,0.11
1986,0.13
1985,0.14
1984,0.17
1983,0.15
1982,0.15
1981,0.15
1980,0.12
1979,0.12
1978,0.14
1977,0.13
1976,0.10
1975,0.10
1974,0.11
1973,0.11
1972,0.09
1971,0.10
1970,0.09
1969,0.08
1968,0.07
1967,0.07
1966,0.08
1965,0.07
1964,0.07
1963,0.07
1962,0.08
1961,0.08
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/panama-wine-consumption-per-capita,
