Wine Consumption Per Capita in Paraguay,
,
Date,Liters of Pure Alcohol
2019,1.11
2018,1.10
2017,1.10
2016,1.01
2015,0.80
2014,0.92
2013,0.64
2012,0.79
2011,0.96
2010,1.14
2009,1.22
2008,1.69
2007,1.27
2006,1.19
2005,0.94
2004,0.83
2003,0.52
2002,0.44
2001,0.62
2000,0.92
1999,0.67
1998,0.47
1997,0.68
1996,0.70
1995,0.76
1994,0.80
1993,0.61
1992,0.72
1991,0.72
1990,0.59
1989,0.35
1988,0.35
1987,0.36
1986,0.36
1985,0.36
1984,0.36
1983,0.36
1982,0.36
1981,0.36
1980,0.36
1979,0.36
1978,0.37
1977,0.37
1976,0.37
1975,0.37
1974,0.37
1973,0.38
1972,0.40
1971,0.40
1970,0.40
1969,0.64
1968,0.48
1967,0.41
1966,0.42
1965,0.36
1964,0.00
1963,0.00
1962,0.76
1961,0.54
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/paraguay-wine-consumption-per-capita,
