Wine Consumption Per Capita in Poland,
,
Date,Liters of Pure Alcohol
2019,0.82
2018,0.85
2017,0.87
2016,0.83
2015,0.89
2014,0.89
2013,0.82
2012,0.83
2011,0.91
2010,0.98
2009,0.99
2008,1.18
2007,1.27
2006,1.30
2005,1.24
2004,1.53
2003,1.64
2002,1.64
2001,1.56
2000,1.78
1999,1.86
1998,1.90
1997,1.79
1996,1.45
1995,0.97
1994,0.99
1993,1.08
1992,1.10
1991,1.25
1990,1.08
1989,1.22
1988,1.33
1987,1.29
1986,1.24
1985,1.30
1984,1.21
1983,0.98
1982,1.16
1981,1.56
1980,1.51
1979,1.43
1978,1.40
1977,1.31
1976,1.16
1975,1.04
1974,1.01
1973,1.03
1972,1.03
1971,1.01
1970,0.94
1969,0.85
1968,0.77
1967,0.73
1966,0.71
1965,0.77
1964,0.79
1963,0.77
1962,0.88
1961,0.92
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/poland-wine-consumption-per-capita,
