Wine Consumption Per Capita in Portugal,
,
Date,Liters of Pure Alcohol
2019,6.00
2018,6.04
2017,6.04
2016,6.04
2015,6.05
2014,5.96
2013,5.16
2012,5.34
2011,6.37
2010,6.44
2009,6.46
2008,6.14
2007,5.99
2006,6.26
2005,6.37
2004,6.43
2003,6.49
2002,6.44
2001,6.51
2000,6.52
1999,6.72
1998,7.16
1997,7.22
1996,7.53
1995,8.16
1994,8.43
1993,8.60
1992,8.82
1991,9.07
1990,9.33
1989,9.48
1988,8.00
1987,8.21
1986,9.84
1985,10.90
1984,13.50
1983,13.16
1982,14.04
1981,12.48
1980,11.54
1979,11.15
1978,10.82
1977,10.52
1976,14.26
1975,16.90
1974,15.47
1973,16.27
1972,13.66
1971,14.17
1970,18.37
1969,12.72
1968,17.35
1967,16.09
1966,16.01
1965,18.74
1964,18.63
1963,17.81
1962,14.50
1961,14.12
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/portugal-wine-consumption-per-capita,
