Wine Consumption Per Capita in Republic of the Congo,
,
Date,Liters of Pure Alcohol
2019,0.09
2018,0.10
2017,0.09
2016,0.12
2015,0.15
2014,0.19
2013,0.19
2012,0.19
2011,0.18
2010,0.23
2009,0.23
2008,0.25
2007,0.18
2006,0.23
2005,0.18
2004,0.17
2003,0.15
2002,0.16
2001,0.21
2000,0.22
1999,0.18
1998,0.28
1997,0.31
1996,0.26
1995,0.32
1994,0.25
1993,0.29
1992,0.30
1991,0.24
1990,0.30
1989,0.00
1988,0.00
1987,0.01
1986,0.00
1985,0.01
1984,0.01
1983,0.01
1982,0.01
1981,0.01
1980,0.01
1979,0.00
1978,0.01
1977,0.00
1976,0.02
1975,0.01
1974,0.01
1973,0.03
1972,0.02
1971,0.02
1970,0.02
1969,0.02
1968,0.03
1967,0.02
1966,0.02
1965,0.04
1964,0.02
1963,0.02
1962,0.02
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/republic-of-the-congo-wine-consumption-per-capita,
