Wine Consumption Per Capita in Russia,
,
Date,Liters of Pure Alcohol
2019,1.13
2018,1.14
2017,1.10
2016,1.08
2015,1.11
2014,1.17
2013,1.11
2012,1.21
2011,1.24
2010,1.29
2009,1.26
2008,1.27
2007,1.17
2006,1.00
2005,1.03
2004,0.95
2003,0.90
2002,0.80
2001,0.75
2000,0.71
1999,0.97
1998,0.82
1997,0.81
1996,0.79
1995,0.81
1994,0.66
1993,0.49
1992,0.50
1991,0.78
1990,0.86
1989,0.93
1988,0.92
1987,0.81
1986,0.80
1985,1.65
1984,2.06
1983,1.82
1982,1.82
1981,1.80
1980,2.02
1979,1.97
1978,1.97
1977,1.88
1976,1.91
1975,1.92
1974,1.88
1973,2.33
1972,2.42
1971,2.36
1970,2.28
1969,2.10
1968,1.58
1967,1.44
1966,1.28
1965,1.15
1964,1.09
1963,1.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/russia-wine-consumption-per-capita,
