Wine Consumption Per Capita in Rwanda,
,
Date,Liters of Pure Alcohol
2019,0.01
2018,0.01
2017,0.01
2016,0.01
2015,0.01
2014,0.01
2013,0.01
2012,0.00
2011,0.00
2010,0.00
2009,0.00
2008,0.00
2007,0.00
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.00
2000,0.00
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.00
1994,0.00
1993,0.01
1992,0.01
1991,0.00
1990,0.00
1989,0.01
1988,0.01
1987,0.01
1986,0.01
1985,0.01
1984,0.01
1983,0.01
1982,0.01
1981,0.01
1980,0.01
1979,0.01
1978,0.01
1977,0.01
1976,0.01
1975,0.01
1974,0.01
1973,0.01
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/rwanda-wine-consumption-per-capita,
