Wine Consumption Per Capita in Saint Kitts and Nevis,
,
Date,Liters of Pure Alcohol
2019,0.96
2018,0.98
2017,0.93
2016,0.86
2015,0.82
2014,0.75
2013,0.70
2012,0.71
2011,0.84
2010,0.98
2009,1.23
2008,1.28
2007,1.26
2006,1.24
2005,1.21
2004,1.14
2003,0.88
2002,0.89
2001,1.05
2000,1.00
1999,0.59
1998,0.68
1997,0.60
1996,0.57
1995,0.77
1994,0.41
1993,0.55
1992,0.43
1991,0.43
1990,0.61
1989,0.62
1988,0.32
1987,0.43
1986,0.46
1985,0.19
1984,0.23
1983,0.28
1982,0.31
1981,0.29
1980,0.11
1979,0.09
1978,0.09
1977,0.10
1976,0.16
1975,0.16
1974,0.14
1973,0.21
1972,0.18
1971,0.25
1970,0.15
1969,0.17
1968,0.16
1967,0.15
1966,0.14
1965,0.18
1964,0.34
1963,0.21
1962,0.17
1961,0.17
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/saint-kitts-and-nevis-wine-consumption-per-capita,
