Wine Consumption Per Capita in Saint Lucia,
,
Date,Liters of Pure Alcohol
2019,1.25
2018,1.26
2017,1.24
2016,1.17
2015,1.05
2014,1.09
2013,1.08
2012,1.10
2011,1.23
2010,1.17
2009,1.17
2008,1.25
2007,1.28
2006,1.27
2005,1.28
2004,1.32
2003,1.32
2002,1.29
2001,1.30
2000,1.45
1999,1.07
1998,1.03
1997,0.92
1996,0.73
1995,0.67
1994,0.56
1993,0.77
1992,0.61
1991,0.77
1990,0.64
1989,0.81
1988,1.00
1987,0.76
1986,0.57
1985,0.46
1984,0.47
1983,0.41
1982,0.26
1981,0.43
1980,0.46
1979,0.40
1978,0.31
1977,0.36
1976,0.40
1975,0.29
1974,0.35
1973,0.94
1972,0.87
1971,0.65
1970,0.48
1969,0.61
1968,0.41
1967,0.37
1966,0.39
1965,0.31
1964,0.29
1963,0.25
1962,0.25
1961,0.27
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/saint-lucia-wine-consumption-per-capita,
