Wine Consumption Per Capita in Saint Vincent and the Grenadines,
,
Date,Liters of Pure Alcohol
2019,0.64
2018,0.63
2017,0.62
2016,0.60
2015,0.59
2014,0.58
2013,0.50
2012,0.51
2011,0.51
2010,0.55
2009,0.55
2008,0.57
2007,0.60
2006,0.56
2005,0.52
2004,0.49
2003,0.45
2002,0.46
2001,0.42
2000,0.41
1999,0.14
1998,0.19
1997,0.16
1996,0.18
1995,0.15
1994,0.14
1993,0.14
1992,0.17
1991,0.18
1990,0.13
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/saint-vincent-and-grenadines-wine-consumption-per-capita,
