Wine Consumption Per Capita in Samoa,
,
Date,Liters of Pure Alcohol
2019,0.17
2018,0.16
2017,0.16
2016,0.15
2015,0.12
2014,0.13
2013,0.09
2012,0.10
2011,0.09
2010,0.09
2009,0.06
2008,0.05
2007,0.09
2006,0.09
2005,0.08
2004,0.06
2003,0.06
2002,0.05
2001,0.02
2000,0.03
1999,0.07
1998,0.05
1997,0.05
1996,0.07
1995,0.05
1994,0.05
1993,0.04
1992,0.02
1991,0.04
1990,0.04
1989,0.02
1988,0.01
1987,0.02
1986,0.03
1985,0.01
1984,0.00
1983,0.02
1982,0.02
1981,0.02
1980,0.06
1979,0.06
1978,0.06
1977,0.02
1976,0.02
1975,0.02
1974,0.04
1973,0.01
1972,0.03
1971,0.01
1970,0.11
1969,0.01
1968,0.01
1967,0.01
1966,0.02
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/samoa-wine-consumption-per-capita,
