Wine Consumption Per Capita in Sao Tome and Principe,
,
Date,Liters of Pure Alcohol
2019,2.92
2018,2.91
2017,2.91
2016,4.09
2015,3.84
2014,4.37
2013,3.78
2012,4.40
2011,4.71
2010,4.46
2009,2.79
2008,2.83
2007,2.71
2006,4.02
2005,3.55
2004,4.05
2003,4.79
2002,4.05
2001,3.06
2000,3.26
1999,3.80
1998,4.68
1997,3.37
1996,3.96
1995,3.40
1994,3.49
1993,4.84
1992,2.58
1991,3.21
1990,2.32
1989,2.40
1988,1.73
1987,1.89
1986,0.65
1985,0.75
1984,0.94
1983,0.49
1982,0.69
1981,1.33
1980,1.39
1979,3.67
1978,1.51
1977,2.59
1976,4.81
1975,4.96
1974,5.99
1973,4.80
1972,6.18
1971,6.58
1970,6.90
1969,8.04
1968,7.83
1967,6.77
1966,6.67
1965,7.28
1964,6.61
1963,8.08
1962,5.97
1961,5.81
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/sao-tome-and-principe-wine-consumption-per-capita,
