Wine Consumption Per Capita in Senegal,
,
Date,Liters of Pure Alcohol
2019,0.07
2018,0.07
2017,0.10
2016,0.10
2015,0.08
2014,0.08
2013,0.08
2012,0.11
2011,0.13
2010,0.11
2009,0.13
2008,0.15
2007,0.13
2006,0.16
2005,0.13
2004,0.17
2003,0.03
2002,0.04
2001,0.04
2000,0.04
1999,0.11
1998,0.10
1997,0.08
1996,0.08
1995,0.10
1994,0.10
1993,0.09
1992,0.11
1991,0.13
1990,0.26
1989,0.32
1988,0.24
1987,0.16
1986,0.22
1985,0.19
1984,0.33
1983,0.36
1982,0.31
1981,0.34
1980,0.31
1979,0.32
1978,0.35
1977,0.43
1976,0.46
1975,0.42
1974,0.30
1973,0.31
1972,0.34
1971,0.31
1970,0.29
1969,0.35
1968,0.38
1967,0.44
1966,0.43
1965,0.49
1964,0.67
1963,0.86
1962,0.77
1961,0.91
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/senegal-wine-consumption-per-capita,
