Wine Consumption Per Capita in Seychelles,
,
Date,Liters of Pure Alcohol
2019,2.08
2018,2.05
2017,1.98
2016,1.79
2015,2.11
2014,1.96
2013,1.91
2012,1.80
2011,1.82
2010,2.31
2009,1.50
2008,1.31
2007,1.01
2006,1.06
2005,0.63
2004,0.57
2003,0.80
2002,0.90
2001,0.41
2000,1.06
1999,0.78
1998,0.50
1997,0.71
1996,0.70
1995,0.73
1994,0.43
1993,0.22
1992,0.24
1991,0.47
1990,0.43
1989,0.47
1988,0.46
1987,0.50
1986,0.43
1985,0.35
1984,0.28
1983,0.43
1982,0.39
1981,0.50
1980,0.54
1979,0.53
1978,0.51
1977,0.53
1976,0.52
1975,0.53
1974,0.62
1973,0.61
1972,0.63
1971,0.65
1970,0.56
1969,0.53
1968,0.60
1967,0.63
1966,0.55
1965,0.51
1964,0.22
1963,0.30
1962,0.19
1961,0.16
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/seychelles-wine-consumption-per-capita,
