Wine Consumption Per Capita in Sierra Leone,
,
Date,Liters of Pure Alcohol
2019,0.03
2018,0.04
2017,0.04
2016,0.14
2015,0.03
2014,0.02
2013,0.03
2012,0.28
2011,0.32
2010,0.24
2009,0.34
2008,0.22
2007,0.09
2006,0.15
2005,0.09
2004,0.09
2003,0.06
2002,0.11
2001,0.04
2000,0.04
1999,0.00
1998,0.01
1997,0.01
1996,0.01
1995,0.00
1994,0.00
1993,0.01
1992,0.00
1991,0.00
1990,0.01
1989,0.01
1988,0.01
1987,0.01
1986,0.01
1985,0.01
1984,0.01
1983,0.02
1982,0.01
1981,0.01
1980,0.02
1979,0.00
1978,0.01
1977,0.02
1976,0.03
1975,0.03
1974,0.03
1973,0.04
1972,0.07
1971,0.04
1970,0.03
1969,0.04
1968,0.02
1967,0.01
1966,0.00
1965,0.02
1964,0.03
1963,0.06
1962,0.04
1961,0.09
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/sierra-leone-wine-consumption-per-capita,
