Wine Consumption Per Capita in Singapore,
,
Date,Liters of Pure Alcohol
2019,0.30
2018,0.30
2017,0.27
2016,0.27
2015,0.27
2014,0.27
2013,0.28
2012,0.27
2011,0.27
2010,0.25
2009,0.23
2008,0.23
2007,0.22
2006,0.20
2005,0.18
2004,0.17
2003,0.15
2002,0.20
2001,0.13
2000,0.12
1999,0.12
1998,0.12
1997,0.11
1996,0.11
1995,0.10
1994,0.08
1993,0.08
1992,0.07
1991,0.07
1990,0.07
1989,0.07
1988,0.07
1987,0.07
1986,0.07
1985,0.07
1984,0.16
1983,0.15
1982,0.14
1981,0.14
1980,0.15
1979,0.14
1978,0.15
1977,0.15
1976,0.13
1975,0.12
1974,0.12
1973,0.11
1972,0.08
1971,0.11
1970,0.08
1969,0.06
1968,0.06
1967,0.04
1966,0.04
1965,0.05
1964,0.03
1963,0.04
1962,0.03
1961,0.04
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/singapore-wine-consumption-per-capita,
