Wine Consumption Per Capita in Slovakia,
,
Date,Liters of Pure Alcohol
2019,2.14
2018,2.13
2017,2.13
2016,2.13
2015,2.60
2014,2.83
2013,2.36
2012,2.12
2011,2.24
2010,2.13
2009,2.13
2008,2.02
2007,1.79
2006,2.15
2005,1.56
2004,1.81
2003,1.83
2002,1.96
2001,1.85
2000,1.74
1999,1.76
1998,1.84
1997,2.00
1996,1.95
1995,1.86
1994,1.99
1993,2.06
1992,2.19
1991,2.36
1990,2.34
1989,2.10
1988,2.07
1987,2.42
1986,2.13
1985,2.60
1984,2.55
1983,2.46
1982,2.41
1981,2.76
1980,2.71
1979,2.54
1978,2.87
1977,2.81
1976,2.71
1975,2.99
1974,2.50
1973,2.39
1972,2.41
1971,2.51
1970,2.43
1969,2.21
1968,2.04
1967,2.40
1966,2.55
1965,2.77
1964,2.45
1963,1.94
1962,2.21
1961,2.42
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/slovakia-wine-consumption-per-capita,
