Wine Consumption Per Capita in Slovenia,
,
Date,Liters of Pure Alcohol
2019,4.24
2018,4.13
2017,4.60
2016,5.32
2015,4.90
2014,4.73
2013,4.09
2012,5.50
2011,4.81
2010,4.85
2009,4.55
2008,4.58
2007,4.08
2006,5.43
2005,5.22
2004,4.18
2003,5.46
2002,3.86
2001,5.07
2000,5.82
1999,5.13
1998,7.52
1997,5.29
1996,5.34
1995,6.09
1994,6.14
1993,7.57
1992,7.86
1991,7.79
1990,8.03
1989,7.56
1988,8.39
1987,9.90
1986,10.78
1985,8.63
1984,10.12
1983,10.04
1982,11.46
1981,8.91
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/slovenia-wine-consumption-per-capita,
