Wine Consumption Per Capita in Solomon Islands,
,
Date,Liters of Pure Alcohol
2019,0.04
2018,0.04
2017,0.04
2016,0.04
2015,0.04
2014,0.03
2013,0.04
2012,0.04
2011,0.03
2010,0.03
2009,0.02
2008,0.02
2007,0.03
2006,0.02
2005,0.03
2004,0.02
2003,0.02
2002,0.01
2001,0.01
2000,0.01
1999,0.04
1998,0.03
1997,0.04
1996,0.05
1995,0.03
1994,0.03
1993,0.02
1992,0.03
1991,0.03
1990,0.05
1989,0.06
1988,0.05
1987,0.06
1986,0.05
1985,0.05
1984,0.04
1983,0.05
1982,0.05
1981,0.06
1980,0.06
1979,0.07
1978,0.06
1977,0.07
1976,0.06
1975,0.06
1974,0.06
1973,0.05
1972,0.05
1971,0.06
1970,0.03
1969,0.03
1968,0.04
1967,0.02
1966,0.03
1965,0.03
1964,0.03
1963,0.03
1962,0.01
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/solomon-islands-wine-consumption-per-capita,
