Wine Consumption Per Capita in South Africa,
,
Date,Liters of Pure Alcohol
2019,1.39
2018,1.36
2017,1.45
2016,1.43
2015,1.42
2014,1.35
2013,1.28
2012,1.28
2011,1.28
2010,1.27
2009,1.27
2008,1.35
2007,1.37
2006,1.33
2005,1.34
2004,1.38
2003,1.38
2002,1.58
2001,1.60
2000,1.60
1999,1.39
1998,1.38
1997,1.47
1996,1.53
1995,1.58
1994,1.50
1993,1.46
1992,1.55
1991,1.60
1990,1.59
1989,1.61
1988,1.65
1987,1.69
1986,1.66
1985,1.73
1984,1.74
1983,1.68
1982,1.65
1981,1.70
1980,1.62
1979,1.74
1978,1.82
1977,1.86
1976,2.05
1975,2.16
1974,2.35
1973,2.23
1972,2.09
1971,2.36
1970,1.93
1969,1.97
1968,1.90
1967,1.92
1966,1.75
1965,1.80
1964,1.88
1963,1.61
1962,4.35
1961,3.83
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/south-africa-wine-consumption-per-capita,
