Wine Consumption Per Capita in Spain,
,
Date,Liters of Pure Alcohol
2019,3.55
2018,3.34
2017,3.87
2016,3.86
2015,3.70
2014,1.21
2013,2.09
2012,2.13
2011,2.06
2010,2.15
2009,2.28
2008,2.44
2007,2.78
2006,3.43
2005,3.67
2004,3.87
2003,3.80
2002,4.00
2001,4.18
2000,4.51
1999,4.39
1998,4.62
1997,4.57
1996,3.97
1995,4.03
1994,4.27
1993,4.56
1992,4.49
1991,5.07
1990,5.10
1989,5.33
1988,5.64
1987,6.45
1986,6.65
1985,6.86
1984,6.94
1983,8.32
1982,8.40
1981,8.78
1980,9.69
1979,9.79
1978,10.58
1977,9.85
1976,10.77
1975,11.55
1974,11.72
1973,11.43
1972,10.22
1971,9.16
1970,9.39
1969,9.53
1968,9.45
1967,9.26
1966,10.08
1965,9.54
1964,9.50
1963,9.81
1962,10.49
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/spain-wine-consumption-per-capita,
