Wine Consumption Per Capita in Suriname,
,
Date,Liters of Pure Alcohol
2019,0.09
2018,0.09
2017,0.09
2016,0.11
2015,0.14
2014,0.18
2013,0.20
2012,0.17
2011,0.18
2010,0.16
2009,0.13
2008,0.13
2007,0.12
2006,0.12
2005,0.12
2004,0.11
2003,0.11
2002,0.10
2001,0.09
2000,0.08
1999,0.07
1998,0.19
1997,0.17
1996,0.04
1995,0.09
1994,0.03
1993,0.04
1992,0.05
1991,0.07
1990,0.04
1989,0.04
1988,0.04
1987,0.09
1986,0.09
1985,0.04
1984,0.25
1983,0.11
1982,0.10
1981,0.08
1980,0.09
1979,0.08
1978,0.08
1977,0.08
1976,0.10
1975,0.05
1974,0.05
1973,0.05
1972,0.11
1971,0.09
1970,0.65
1969,0.57
1968,0.04
1967,0.04
1966,0.05
1965,0.05
1964,0.10
1963,0.06
1962,0.06
1961,0.05
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/suriname-wine-consumption-per-capita,
