Wine Consumption Per Capita in Sweden,
,
Date,Liters of Pure Alcohol
2019,3.42
2018,3.38
2017,3.36
2016,3.39
2015,3.40
2014,3.46
2013,3.50
2012,3.43
2011,3.47
2010,3.40
2009,3.31
2008,3.09
2007,3.04
2006,2.86
2005,2.71
2004,2.68
2003,2.71
2002,2.62
2001,2.40
2000,2.20
1999,2.00
1998,1.98
1997,1.97
1996,1.81
1995,1.71
1994,1.78
1993,1.72
1992,1.70
1991,1.66
1990,1.65
1989,1.67
1988,1.63
1987,1.57
1986,1.60
1985,1.55
1984,1.55
1983,1.45
1982,1.41
1981,1.32
1980,1.30
1979,1.29
1978,1.25
1977,1.31
1976,1.18
1975,1.15
1974,1.07
1973,1.01
1972,1.10
1971,0.97
1970,0.89
1969,0.81
1968,0.74
1967,0.69
1966,0.64
1965,0.60
1964,0.59
1963,0.54
1962,0.58
1961,0.55
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/sweden-wine-consumption-per-capita,
