Wine Consumption Per Capita in Switzerland,
,
Date,Liters of Pure Alcohol
2019,4.15
2018,4.23
2017,4.23
2016,4.34
2015,4.58
2014,4.58
2013,4.69
2012,4.70
2011,4.82
2010,4.94
2009,4.84
2008,4.97
2007,5.10
2006,5.00
2005,5.14
2004,5.27
2003,5.41
2002,5.54
2001,5.68
2000,5.81
1999,5.83
1998,5.72
1997,5.85
1996,5.85
1995,5.85
1994,5.96
1993,6.16
1992,6.16
1991,6.39
1990,6.50
1989,7.14
1988,7.20
1987,7.16
1986,7.04
1985,7.21
1984,7.29
1983,7.09
1982,7.28
1981,7.32
1980,7.11
1979,6.90
1978,6.90
1977,6.80
1976,6.64
1975,6.79
1974,7.15
1973,7.26
1972,6.95
1971,6.56
1970,6.60
1969,6.45
1968,6.22
1967,6.32
1966,6.15
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/switzerland-wine-consumption-per-capita,
