Wine Consumption Per Capita in Syria,
,
Date,Liters of Pure Alcohol
2018,0.00
2017,0.00
2016,0.00
2015,0.00
2014,0.00
2013,0.00
2012,0.00
2011,0.01
2010,0.01
2009,0.01
2008,0.01
2007,0.00
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.00
2000,0.00
1999,0.36
1998,0.79
1997,0.61
1996,0.65
1995,0.46
1994,0.55
1993,0.54
1992,0.68
1991,0.57
1990,0.37
1989,0.36
1988,0.67
1987,0.60
1986,0.83
1985,0.78
1984,0.64
1983,0.53
1982,0.73
1981,0.64
1980,0.76
1979,0.79
1978,0.79
1977,0.85
1976,0.93
1975,0.71
1974,0.72
1973,0.31
1972,0.38
1971,0.45
1970,0.36
1969,0.65
1968,0.45
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.01
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/syria-wine-consumption-per-capita,
