Wine Consumption Per Capita in Tajikistan,
,
Date,Liters of Pure Alcohol
2019,0.00
2018,0.01
2017,0.01
2016,0.01
2015,0.01
2014,0.01
2013,0.01
2012,0.01
2011,0.01
2010,0.01
2009,0.02
2008,0.05
2007,0.08
2006,0.11
2005,0.18
2004,0.18
2003,0.19
2002,0.19
2001,0.18
2000,0.12
1999,0.17
1998,0.22
1997,0.27
1996,0.39
1995,0.37
1994,0.39
1993,0.52
1992,0.72
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/tajikistan-wine-consumption-per-capita,
