Wine Consumption Per Capita in Togo,
,
Date,Liters of Pure Alcohol
2019,0.06
2018,0.07
2017,0.08
2016,0.07
2015,0.08
2014,0.08
2013,0.08
2012,0.10
2011,0.10
2010,0.09
2009,0.09
2008,0.34
2007,0.39
2006,0.42
2005,0.31
2004,0.33
2003,0.14
2002,0.08
2001,0.14
2000,0.10
1999,0.07
1998,0.11
1997,0.14
1996,0.14
1995,0.18
1994,0.16
1993,0.09
1992,0.15
1991,0.16
1990,0.13
1989,0.19
1988,0.15
1987,0.13
1986,0.17
1985,0.22
1984,0.26
1983,0.48
1982,0.51
1981,0.43
1980,0.30
1979,0.19
1978,0.22
1977,0.35
1976,0.21
1975,0.23
1974,0.17
1973,0.16
1972,0.21
1971,0.21
1970,0.24
1969,0.28
1968,0.29
1967,0.25
1966,0.29
1965,0.29
1964,0.37
1963,0.28
1962,0.29
1961,0.25
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/togo-wine-consumption-per-capita,
