Wine Consumption Per Capita in Tonga,
,
Date,Liters of Pure Alcohol
2019,0.21
2018,0.20
2017,0.20
2016,0.15
2015,0.16
2014,0.12
2013,0.14
2012,0.11
2011,0.10
2010,0.09
2009,0.12
2008,0.11
2007,0.16
2006,0.09
2005,0.28
2004,0.30
2003,0.22
2002,0.08
2001,0.10
2000,0.10
1999,0.22
1998,0.21
1997,0.15
1996,0.13
1995,0.10
1994,0.08
1993,0.10
1992,0.11
1991,0.08
1990,0.07
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/tonga-wine-consumption-per-capita,
