Wine Consumption Per Capita in Trinidad and Tobago,
,
Date,Liters of Pure Alcohol
2019,0.31
2018,0.29
2017,0.29
2016,0.32
2015,0.37
2014,0.36
2013,0.26
2012,0.21
2011,0.18
2010,0.16
2009,0.19
2008,0.22
2007,0.19
2006,0.18
2005,0.17
2004,0.17
2003,0.18
2002,0.17
2001,0.17
2000,0.18
1999,0.14
1998,0.10
1997,0.05
1996,0.07
1995,0.06
1994,0.05
1993,0.04
1992,0.07
1991,0.11
1990,0.10
1989,0.08
1988,0.09
1987,0.06
1986,0.13
1985,0.16
1984,0.13
1983,0.37
1982,0.38
1981,0.47
1980,0.49
1979,0.28
1978,0.13
1977,0.11
1976,0.09
1975,0.10
1974,0.10
1973,0.11
1972,0.14
1971,0.15
1970,0.12
1969,0.08
1968,0.06
1967,0.07
1966,0.09
1965,0.09
1964,0.08
1963,0.08
1962,0.10
1961,0.12
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/trinidad-and-tobago-wine-consumption-per-capita,
