Wine Consumption Per Capita in Tunisia,
,
Date,Liters of Pure Alcohol
2019,0.39
2018,0.38
2017,0.38
2016,0.36
2015,0.30
2014,0.36
2013,0.38
2012,0.37
2011,0.29
2010,0.26
2009,0.29
2008,0.29
2007,0.19
2006,0.38
2005,0.34
2004,0.35
2003,0.36
2002,0.34
2001,0.40
2000,0.37
1999,0.42
1998,0.43
1997,0.44
1996,0.41
1995,0.40
1994,0.45
1993,0.41
1992,0.45
1991,0.38
1990,0.38
1989,0.44
1988,0.55
1987,0.57
1986,0.58
1985,0.58
1984,0.59
1983,0.58
1982,0.57
1981,0.57
1980,0.59
1979,0.48
1978,0.67
1977,0.81
1976,0.81
1975,0.67
1974,0.62
1973,0.64
1972,0.62
1971,0.66
1970,0.60
1969,0.77
1968,0.66
1967,1.53
1966,1.53
1965,1.32
1964,0.99
1963,0.62
1962,1.42
1961,1.19
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/tunisia-wine-consumption-per-capita,
