Wine Consumption Per Capita in Turkey,
,
Date,Liters of Pure Alcohol
2019,0.17
2018,0.17
2017,0.15
2016,0.16
2015,0.14
2014,0.14
2013,0.14
2012,0.13
2011,0.13
2010,0.14
2009,0.11
2008,0.09
2007,0.06
2006,0.06
2005,0.07
2004,0.05
2003,0.04
2002,0.04
2001,0.06
2000,0.05
1999,0.11
1998,0.11
1997,0.11
1996,0.10
1995,0.08
1994,0.10
1993,0.12
1992,0.10
1991,0.08
1990,0.07
1989,0.07
1988,0.07
1987,0.09
1986,0.07
1985,0.18
1984,0.07
1983,0.05
1982,0.07
1981,0.15
1980,0.11
1979,0.11
1978,0.09
1977,0.07
1976,0.07
1975,0.11
1974,0.11
1973,0.13
1972,0.15
1971,0.17
1970,0.17
1969,0.17
1968,0.17
1967,0.15
1966,0.15
1965,0.17
1964,0.17
1963,0.15
1962,0.23
1961,0.20
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/turkey-wine-consumption-per-capita,
