Wine Consumption Per Capita in Tuvalu,
,
Date,Liters of Pure Alcohol
2019,0.67
2018,0.66
2017,0.66
2016,0.71
2015,1.13
2014,1.51
2013,1.27
2012,1.68
2011,1.08
2010,0.50
2009,0.49
2008,0.15
2007,0.06
2006,0.03
2005,0.01
2004,0.26
2003,0.06
2002,0.10
2001,0.13
2000,0.13
1999,0.04
1998,0.11
1997,0.02
1996,0.00
1995,0.02
1994,0.00
1993,0.14
1992,0.00
1991,0.00
1990,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/tuvalu-wine-consumption-per-capita,
