Wine Consumption Per Capita in Ukraine,
,
Date,Liters of Pure Alcohol
2019,0.29
2018,0.31
2017,0.29
2016,0.31
2015,0.32
2014,0.35
2013,0.42
2012,0.42
2011,0.43
2010,0.46
2009,0.49
2008,0.48
2007,0.45
2006,0.42
2005,0.39
2004,0.52
2003,0.53
2002,0.54
2001,0.38
2000,0.36
1999,0.37
1998,0.42
1997,0.38
1996,0.35
1995,0.30
1994,0.13
1993,0.45
1992,0.57
1991,0.83
1990,0.81
1989,0.99
1988,0.94
1987,0.90
1986,1.01
1985,1.81
1984,2.19
1983,2.26
1982,2.35
1981,2.45
1980,2.44
1979,
1978,
1977,
1976,
1975,2.39
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/ukraine-wine-consumption-per-capita,
