Wine Consumption Per Capita in United Arab Emirates,
,
Date,Liters of Pure Alcohol
2019,0.15
2018,0.15
2017,0.15
2016,0.15
2015,0.15
2014,0.14
2013,0.13
2012,0.12
2011,0.12
2010,0.12
2009,0.12
2008,0.13
2007,0.12
2006,0.12
2005,0.13
2004,0.13
2003,0.07
2002,0.07
2001,0.07
2000,0.07
1999,0.22
1998,0.21
1997,0.24
1996,0.17
1995,0.11
1994,0.16
1993,0.18
1992,0.14
1991,0.10
1990,0.10
1989,0.11
1988,0.13
1987,0.21
1986,0.13
1985,0.21
1984,0.15
1983,0.16
1982,0.16
1981,0.26
1980,0.17
1979,0.29
1978,0.10
1977,0.12
1976,0.09
1975,0.15
1974,0.09
1973,0.00
1972,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/united-arab-emirates-wine-consumption-per-capita,
