Wine Consumption Per Capita in Uruguay,
,
Date,Liters of Pure Alcohol
2019,3.29
2018,3.50
2017,3.01
2016,2.95
2015,3.07
2014,3.23
2013,3.83
2012,3.95
2011,3.47
2010,3.62
2009,3.75
2008,3.86
2007,4.07
2006,4.12
2005,4.18
2004,4.08
2003,3.89
2002,4.33
2001,4.76
2000,4.88
1999,4.66
1998,4.44
1997,4.48
1996,4.39
1995,4.35
1994,4.56
1993,3.97
1992,3.75
1991,3.76
1990,3.71
1989,3.72
1988,3.73
1987,3.85
1986,3.30
1985,3.65
1984,4.42
1983,4.81
1982,4.43
1981,4.25
1980,3.75
1979,3.96
1978,3.97
1977,3.99
1976,4.00
1975,4.02
1974,4.04
1973,4.09
1972,4.04
1971,4.21
1970,4.22
1969,4.23
1968,4.07
1967,4.08
1966,4.97
1965,4.97
1964,4.77
1963,4.91
1962,5.25
1961,5.68
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/uruguay-wine-consumption-per-capita,
