Wine Consumption Per Capita in Vanuatu,
,
Date,Liters of Pure Alcohol
2019,0.31
2018,0.30
2017,0.30
2016,0.31
2015,0.22
2014,0.22
2013,0.20
2012,0.24
2011,0.17
2010,0.19
2009,0.23
2008,0.28
2007,0.17
2006,0.18
2005,0.22
2004,0.17
2003,0.18
2002,0.19
2001,0.16
2000,0.16
1999,0.48
1998,0.60
1997,0.61
1996,0.43
1995,0.69
1994,0.81
1993,0.36
1992,0.41
1991,0.50
1990,0.35
1989,0.55
1988,0.53
1987,0.58
1986,0.64
1985,0.90
1984,0.88
1983,0.78
1982,0.83
1981,0.68
1980,0.69
1979,0.67
1978,0.68
1977,0.65
1976,0.62
1975,0.58
1974,1.46
1973,1.51
1972,1.04
1971,1.26
1970,1.58
1969,2.05
1968,2.87
1967,3.18
1966,2.46
1965,2.92
1964,1.90
1963,2.98
1962,2.99
1961,2.28
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/vanuatu-wine-consumption-per-capita,
