Wine Consumption Per Capita in Venezuela,
,
Date,Liters of Pure Alcohol
2019,0.09
2018,0.10
2017,0.11
2016,0.12
2015,0.14
2014,0.14
2013,0.16
2012,0.20
2011,0.20
2010,0.22
2009,0.27
2008,0.34
2007,0.31
2006,0.25
2005,0.18
2004,0.14
2003,0.11
2002,0.13
2001,0.18
2000,0.16
1999,0.02
1998,0.02
1997,0.05
1996,0.05
1995,0.05
1994,0.05
1993,0.09
1992,0.10
1991,0.12
1990,0.12
1989,0.08
1988,0.11
1987,0.14
1986,0.13
1985,0.14
1984,0.12
1983,0.12
1982,0.27
1981,0.32
1980,0.33
1979,0.23
1978,0.39
1977,0.33
1976,0.30
1975,0.20
1974,0.15
1973,0.11
1972,0.13
1971,0.11
1970,0.13
1969,0.09
1968,0.13
1967,0.10
1966,0.10
1965,0.08
1964,0.06
1963,0.05
1962,0.05
1961,0.03
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/venezuela-wine-consumption-per-capita,
